Country,Confirmed,Deaths,Recovered,numDates
Mainland China,90622,4636,85669,462
Hong Kong,11748,209,11379,462
Macau,49,0,49,462
Taiwan,1110,12,1050,462
US,32175049,573378,6399531,462
Japan,576870,10031,508232,462
Thailand,59688,163,26873,462
South Korea,120673,1821,110248,462
China,0,0,0,48
Singapore,61063,30,60704,461
Philippines,1013618,16916,925027,455
Malaysia,398451,1462,371575,460
Vietnam,2857,35,2516,461
Australia,29750,910,23260,460
Mexico,2333126,215547,1856543,426
Brazil,14441563,395022,12815119,428
Colombia,2804881,72235,2616821,419
France,5595403,103762,341406,460
Nepal,307925,3194,278506,459
Canada,1202672,24048,1099133,458
Cambodia,11063,82,3704,457
Sri Lanka,103487,647,94856,457
Ivory Coast,45885,285,45451,414
Germany,3338564,82325,2960900,456
Finland,86161,908,46000,455
United Arab Emirates,514591,1578,495589,455
India,17636307,197894,14556209,454
Italy,3981512,119912,3413451,453
UK,4425259,127705,14567,453
Russia,4725252,107167,4352649,453
Sweden,953254,13968,4971,453
Spain,3496134,77855,150376,452
Belgium,979034,24104,31130,449
Others,712,8,567,46
Egypt,224517,13168,168665,439
Iran,2438193,70532,1907190,434
Israel,838217,6359,830205,432
Lebanon,522763,7197,453865,432
Iraq,1045010,15348,920523,430
Oman,191398,1992,170929,429
Afghanistan,59225,2598,52794,429
Bahrain,173548,626,162537,429
Kuwait,269681,1535,252888,429
Austria,612170,10126,577977,428
Algeria,121344,3225,84598,428
Croatia,324833,6957,304546,428
Switzerland,653957,10591,317600,428
Pakistan,810231,17530,704494,427
Georgia,305850,4060,287938,427
Greece,337723,10179,93764,427
North Macedonia,151122,4742,130910,427
Norway,111686,736,17998,427
Romania,1049539,27683,979445,427
Denmark,249644,2480,237617,426
Estonia,120836,1148,108968,426
Netherlands,1497806,17328,23945,426
San Marino,5058,90,4880,426
Azerbaijan,315119,4429,282786,424
Belarus,354669,2512,344950,425
Iceland,6447,29,6240,425
Lithuania,242926,3877,219678,425
New Zealand,2609,26,2547,425
Nigeria,164912,2063,155012,425
North Ireland,1,0,0,1
Ireland,247489,4884,23364,424
Luxembourg,66594,791,62989,424
Monaco,2442,32,2338,424
Qatar,203599,441,184712,424
Ecuador,375329,18389,318598,423
Czech Republic,1622777,29075,1541963,423
Armenia,214064,4058,195701,423
