Date,worldCases,worldDeaths,worldRecovered
01/22/2020,1782,32,634
01/23/2020,2396,52,674
01/24/2020,2532,50,655
01/25/2020,3412,70,658
01/26/2020,4529,95,678
01/27/2020,5790,132,691
01/28/2020,9011,194,739
01/29/2020,10469,208,812
01/30/2020,13487,262,871
01/31/2020,16258,332,980
02/01/2020,19953,405,1110
02/02/2020,26977,553,1376
02/03/2020,32381,653,1723
02/04/2020,39459,763,2006
02/05/2020,46182,898,2623
02/06/2020,53839,1033,3263
02/07/2020,63185,1201,4094
02/08/2020,72349,1369,5653
02/09/2020,81449,1611,6924
02/10/2020,91334,1887,8792
02/11/2020,101168,2162,9952
02/12/2020,110321,2410,10961
02/13/2020,134740,2936,13094
02/14/2020,152264,3374,15297
02/15/2020,166367,3876,17392
02/16/2020,181096,4363,21435
02/17/2020,196824,4949,23999
02/18/2020,213900,5570,27757
02/19/2020,229684,6220,30501
02/20/2020,245266,6946,34296
02/21/2020,264681,7605,37366
02/22/2020,284246,8464,45631
02/23/2020,302711,9155,47919
02/24/2020,320637,10101,52966
02/25/2020,340345,10972,60230
02/26/2020,360858,11970,66607
02/27/2020,384176,12923,75901
02/28/2020,407502,14057,84508
02/29/2020,434580,15150,93822
03/01/2020,459108,16289,103681
03/02/2020,486185,17565,112788
03/03/2020,513298,18664,125439
03/04/2020,542734,20332,136354
03/05/2020,571409,21725,146917
03/06/2020,600792,23245,158765
03/07/2020,630470,24908,172793
03/08/2020,658233,26296,183132
03/09/2020,690176,28010,199692
03/10/2020,720078,29848,215616
03/11/2020,758327,32121,232766
03/12/2020,799868,34610,261172
03/13/2020,840106,37050,279276
03/14/2020,883310,39477,308443
03/15/2020,930144,42283,325216
03/16/2020,985572,44891,351666
03/17/2020,1038223,48100,372156
03/18/2020,1088502,51713,394542
03/19/2020,1144365,55236,421399
03/20/2020,1205211,58979,444528
03/21/2020,1264033,62313,463870
03/22/2020,1330157,66204,495131
03/23/2020,1395678,70466,520336
03/24/2020,1462858,75215,546528
03/25/2020,1536128,80128,572761
03/26/2020,1615587,84578,599848
03/27/2020,1695412,88957,627746
03/28/2020,1773440,93674,651537
03/29/2020,1851792,98608,683887
03/30/2020,1930952,104019,716421
03/31/2020,2015207,109959,742579
04/01/2020,2110402,116781,777085
04/02/2020,2210517,123503,816418
04/03/2020,2308261,129470,849615
04/04/2020,2407410,135464,880665
04/05/2020,2501280,142130,922712
04/06/2020,2601298,148594,962219
04/07/2020,2702122,156262,993771
04/08/2020,2800311,163113,1031508
04/09/2020,2910897,170232,1077108
04/10/2020,3047895,176817,1110558
04/11/2020,3158622,183226,1148470
04/12/2020,3269111,189910,1192240
04/13/2020,3370749,197037,1242813
04/14/2020,3489283,204277,1296333
04/15/2020,3595012,212003,1345487
04/16/2020,3723647,221801,1430134
04/17/2020,3845976,231208,1484184
04/18/2020,3963978,237362,1540108
04/19/2020,4078645,243957,1592691
04/20/2020,4154021,253649,1619291
04/21/2020,4256407,260285,1671669
04/22/2020,4370888,267532,1700552
04/23/2020,4494737,275732,1757622
04/24/2020,4628483,281867,1827067
04/25/2020,4761739,287726,1957900
04/26/2020,4901717,293353,2021081
04/27/2020,5018575,298986,2081798
04/28/2020,5134753,306398,2136450
